Gene	ckcc_reference/TCGA-MP-A4T4-01	ckcc_reference/TCGA-KK-A8IG-01	ckcc_reference/TCGA-A8-A09Z-01	ckcc_reference/TCGA-DD-AAW1-01	ckcc_reference/TCGA-YL-A8SB-01	ckcc_reference/TCGA-HC-7817-01	ckcc_reference/TCGA-06-0649-01	ckcc_reference/TCGA-C5-A1BE-01	ckcc_reference/TARGET-21-PATISD-09	ckcc_reference/TCGA-K4-A5RH-01
ABCC6P1	7.73159980774	3.0952000618	2.04889988899	10.4464998245	5.77990007401	3.742000103	5.12340021133	0.656099975109	3.70110011101	3.41179990768
ABCC6P2	5.71519994736	4.01109981537	0.0	7.8000998497	3.3654999733	2.46650004387	4.91099977493	1.75569999218	3.37689995766	4.32149982452
ABCC8	1.35070002079	6.98439979553	1.99380004406	2.78169989586	6.49560022354	5.69369983673	7.21150016785	0.0	0.0	1.15869998932
ABCC9	8.65299987793	8.88539981842	7.37200021744	12.7109003067	8.35949993134	10.1569004059	8.65839958191	4.78529977798	6.49730014801	7.08920001984
ABCD1	9.67189979553	9.52950000763	9.84780025482	11.5708999634	9.34749984741	9.40069961548	10.0537996292	8.82579994202	7.39839982986	11.0564002991
ABCD2	6.54300022125	4.59340000153	5.00099992752	3.14330005646	4.78389978409	5.57410001755	9.33469963074	3.22749996185	0.0	6.93790006638
ABCD3	10.4084997177	10.5931997299	10.5306997299	12.2938995361	10.6947002411	11.0473003387	11.6705999374	10.4770002365	10.2806997299	10.337100029
ABCG1	9.98060035706	10.5187997818	12.2102003098	10.4436998367	9.431599617	10.0913000107	10.4924001694	10.819899559	9.74020004272	10.8745002747
ABCG2	6.30919981003	9.31219959259	3.93709993362	11.4905996323	9.09080028534	9.18480014801	10.0825004578	5.42059993744	4.30810022354	7.09789991379
ABCG4	2.4986000061	3.07690000534	0.675000011921	1.97759997845	3.6779999733	3.58189988136	6.10890007019	2.78769993782	0.0	4.77050018311
ABCG5	1.35070002079	1.4076000452	1.48010003567	11.1579999924	3.40420007706	0.0	2.60310006142	0.98860001564	0.0	0.0
ABCG8	0.0	0.0	0.0	12.7384004593	0.0	0.0	0.0	0.0	0.0	0.0
ABHD1	5.88609981537	7.50120019913	2.52920007706	9.63179969788	7.38310003281	4.5202999115	6.87960004807	3.22749996185	6.36639976501	3.77990007401
ABHD11	11.3323001862	12.0543003082	11.3247995377	8.5626001358	11.2802000046	10.8121995926	9.90600013733	10.5488996506	8.2455997467	9.34819984436
ABHD11-AS1	6.16069984436	3.44860005379	7.37720012665	0.0	5.61280012131	3.30979990959	2.0164000988	2.68109989166	2.04780006409	2.75530004501
ABHD12B	3.97530007362	1.79879999161	0.675000011921	1.97759997845	0.79699999094	2.53640007973	4.10799980164	2.68109989166	2.04780006409	2.46449995041
ABHD14A	9.04419994354	9.51669979095	8.64910030365	9.32789993286	9.77280044556	9.48019981384	9.92450046539	8.23139953613	9.33759975433	9.75640010834
ABHD14A-ACY1	3.64969992638	4.21680021286	3.20210003853	5.90049982071	4.7267999649	5.54790019989	6.09940004349	2.97099995613	4.30810022354	4.45800018311
ABHD14B	10.9294996262	11.8948001862	11.4998998642	13.2184000015	12.0541000366	11.9654998779	11.1618995667	10.8724002838	12.5457000732	11.3130998611
ABHD15	9.35420036316	8.58049964905	9.45890045166	9.98789978027	8.34969997406	9.00959968567	9.84829998016	9.48589992523	8.36769962311	9.52359962463
ABHD16B	0.0	2.76060009003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.03359985352
ABHD17AP1	1.34630000591	0.0	3.62330007553	2.37080001831	2.11059999466	3.74569988251	3.19090008736	1.60520005226	1.44579994678	2.32829999924
ABHD17AP3	0.0	1.08679997921	0.733099997044	1.68850004673	0.880299985409	0.844500005245	1.63769996166	0.696099996567	2.17840003967	0.0
ABHD17AP4	1.53569996357	2.29789996147	0.0	1.1276999712	1.95179998875	1.45889997482	0.0	2.14249992371	6.26359987259	0.0
ABHD17AP5	0.0	0.0	1.31350004673	0.0	0.931400001049	0.0	0.0	0.88480001688	5.54020023346	1.67349994183
ABHD17AP6	1.94299995899	2.28570008278	0.778999984264	0.0	1.4851000309	2.78489995003	0.0	0.0	2.15330004692	0.0
ABHD17B	8.56719970703	9.83640003204	7.53399991989	9.80770015717	9.82670021057	9.6077003479	9.4563999176	9.82569980621	9.74279975891	8.93999958038
ABHD17C	8.48530006409	10.5089998245	7.80039978027	8.77420043945	10.3715000153	11.4434995651	9.02289962769	11.5376996994	10.2137002945	8.88339996338
ABHD2	13.0825996399	14.63560009	12.4694004059	14.0075998306	14.8903999329	13.6398000717	11.3962001801	11.6272001266	11.2504997253	12.1856002808
ABHD3	9.51420021057	9.51000022888	9.18649959564	10.5437002182	9.41919994354	9.48740005493	9.7513999939	10.2076997757	8.51650047302	9.46020030975
ABHD4	10.7399997711	10.204000473	11.0441999435	10.8352003098	9.806599617	10.0913000107	11.4000997543	11.3135995865	10.1613998413	12.269900322
ABHD6	7.63990020752	8.27270030975	6.97359991074	11.5736999512	8.08559989929	7.78450012207	10.2625999451	9.66539955139	7.76359987259	8.30060005188
ABHD8	8.72350025177	8.44960021973	8.82019996643	8.55510044098	9.56820011139	9.18809986115	10.420999527	9.60400009155	6.3531999588	9.82479953766
ABI2	11.4271001816	11.2882995605	10.736000061	8.8531999588	11.5652999878	11.1009998322	11.8718996048	10.542599678	11.1287002563	11.3220996857
ABI3	9.78020000458	8.57110023499	9.03359985352	7.14020013809	8.23429965973	8.8968000412	9.52530002594	7.85059976578	8.0611000061	10.0901002884
ABI3BP	9.35079956055	10.445400238	7.99510002136	4.21950006485	10.1912002563	9.0361995697	10.8064002991	7.43580007553	0.0	9.71770000458
ABL2	11.1577997208	10.1002998352	10.3793001175	10.2611999512	9.89750003815	9.44400024414	9.78670024872	10.0837001801	10.2880001068	11.0858001709
ABLIM1	11.3788003922	11.0362997055	8.04489994049	12.9144001007	10.7004003525	10.8226003647	11.5638999939	13.1593999863	13.4400997162	8.95680046082
ABLIM2	5.9047999382	8.54899978638	7.43800020218	6.12020015717	6.07410001755	7.29809999466	7.92259979248	8.54319953918	0.0	8.28730010986
ABLIM3	8.57890033722	10.7973003387	11.652299881	9.96860027313	9.63529968262	8.6859998703	9.82750034332	6.62120008469	3.14359998703	10.6753997803
ABO	8.72879981995	5.01809978485	4.6701002121	3.43219995499	8.146900177	6.65040016174	3.92729997635	10.7223997116	11.0251998901	4.28450012207
ABR	12.2390003204	11.5645999908	12.3781995773	7.69129991531	11.4857997894	11.4951000214	13.1314001083	10.5597000122	10.5805997849	12.8214998245
ABRA	1.35070002079	6.2673997879	0.0	0.0	1.68369996548	1.90439999104	1.0109000206	0.577300012112	4.41790008545	1.15869998932
ABRACL	9.27700042725	8.42959976196	9.91889953613	9.34080028534	8.88790035248	9.83810043335	9.11190032959	10.5303001404	12.0937004089	10.6191997528
ABTB1	10.6710996628	10.1753997803	10.151599884	9.24619960785	10.4228000641	10.3191003799	10.9975996017	8.88700008392	10.8215999603	10.2096996307
ABTB2	8.69139957428	8.35879993439	8.27900028229	11.1361999512	8.24139976501	8.67879962921	7.70819997787	7.74209976196	7.41179990768	9.2906999588
AC000032.2	0.0	0.0	0.376599997282	0.0	0.0	2.57509994507	2.96199989319	3.32699990273	0.0	2.25069999695
AC000036.4	0.0	0.0	1.13300001621	3.29500007629	0.79699999094	0.0	0.0	0.0	1.36029994488	0.0
AC000068.10	2.68400001526	3.99099993706	1.48319995403	2.30940008163	3.18899989128	2.97429990768	1.59959995747	2.78769993782	2.04780006409	2.23320007324
AC000068.5	4.2013001442	3.4712998867	5.06739997864	4.43410015106	6.61730003357	6.27990007401	2.82809996605	4.46479988098	6.51520013809	5.00489997864
AC000068.9	0.0	0.0	0.0	2.3180000782	4.05800008774	1.81439995766	1.56029999256	0.899999976158	0.0	0.0
AC000078.5	4.34910011292	3.44860005379	1.99380004406	1.97759997845	3.59240007401	2.14709997177	0.0	0.577300012112	3.58159995079	1.79289996624
AC000089.3	4.92500019073	6.32060003281	5.96560001373	5.27089977264	6.67910003662	6.33620023727	2.72110009193	4.90859985352	4.84829998016	4.7298002243
AC000095.11	2.4986000061	2.10630011559	0.0	0.985099971294	0.0	1.2460000515	0.0	0.0	0.0	0.496499985456
AC000095.9	2.4906001091	0.0	0.428700000048	0.0	0.0	0.0	0.0	2.20079994202	0.0	0.0
AC000120.7	4.01249980927	1.44309997559	2.35170006752	3.14490008354	3.45169997215	2.88739991188	3.80259990692	2.74499988556	5.46330022812	0.736000001431
AC000123.2	7.23470020294	6.40040016174	6.21680021286	5.6985001564	6.61980009079	6.12080001831	5.19110012054	6.06489992142	2.04780006409	5.69890022278
AC000123.3	4.60029983521	4.46920013428	1.75969994068	4.05929994583	4.26639986038	3.4063000679	3.34159994125	3.22749996185	2.51149988174	2.35290002823
AC000123.4	4.50500011444	4.15929985046	2.80029988289	2.97379994392	3.09870004654	2.97429990768	3.01909995079	3.06730008125	3.14359998703	2.56809997559
AC000124.1	0.0	4.98089981079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000403.4	4.17430019379	3.9117000103	2.91880011559	1.56509995461	4.16690015793	4.06829977036	4.72139978409	1.98290002346	3.58159995079	4.91499996185
AC001226.7	2.4986000061	3.21169996262	0.0	0.0	2.22880005836	1.61240005493	0.0	0.0	1.36029994488	0.865299999714
AC002044.1	2.28570008278	2.76239991188	0.675000011921	0.0	2.43959999084	2.35479998589	2.60310006142	0.577300012112	2.86190009117	0.0
AC002044.3	0.0	0.0	0.0	0.0	0.79699999094	0.0	0.0	0.577300012112	3.3791000843	0.0
AC002056.3	0.0	1.17920005322	2.15899991989	2.49880003929	0.0	3.16070008278	0.0	2.42490005493	4.4063000679	2.24320006371
AC002059.10	2.03590011597	2.10630011559	0.0	0.0	2.22880005836	3.09500002861	4.19049978256	1.30820000172	2.51149988174	2.66470003128
AC002064.5	0.0	3.07690000534	0.675000011921	0.0	4.96509981155	1.90439999104	0.0	0.0	0.0	0.496499985456
AC002066.1	2.84829998016	1.69589996338	0.0	0.0	0.79699999094	1.90439999104	2.82610011101	0.0	0.0	0.496499985456
AC002075.4	0.0	1.46050000191	0.691100001335	1.60269999504	0.0	1.71249997616	1.79369997978	0.619599997997	4.60050010681	0.509100019932
AC002076.10	3.12960004807	0.0	0.0	0.0	0.0	0.0	0.0	0.98860001564	0.0	0.496499985456
AC002116.7	3.46959996223	3.33500003815	3.22530007362	3.43219995499	0.0	2.35479998589	2.33940005302	3.06730008125	5.72039985657	3.20429992676
AC002116.8	4.63940000534	4.37169981003	4.11800003052	0.0	4.44259977341	4.78079986572	5.11329984665	5.14270019531	0.0	2.21289992332
AC002117.1	0.0	2.27090001106	1.20570003986	0.0	1.64330005646	1.34280002117	1.28779995441	0.0	6.73979997635	0.0
AC002128.5	2.03590011597	1.4076000452	0.0	0.0	0.79699999094	0.0	0.0	0.98860001564	0.0	0.496499985456
AC002306.1	0.0	0.0	0.0	0.0	0.79699999094	0.753499984741	0.0	0.0	3.3791000843	0.0
AC002310.10	0.0	0.0	0.685699999332	0.992200016975	0.803099989891	1.25010001659	1.0109000206	0.582099974155	2.06410002708	0.500800013542
AC002310.11	4.57800006866	5.77290010452	4.81010007858	0.0	5.78340005875	5.32859992981	5.19869995117	0.0	2.93759989738	5.45279979706
AC002310.12	5.11810016632	5.60349988937	5.05039978027	5.29339981079	6.75250005722	6.00880002975	6.42110013962	5.58990001678	8.22439956665	5.77600002289
AC002310.14	3.7444999218	5.68410015106	4.49030017853	4.82899999619	5.03170013428	4.79440021515	5.41359996796	4.5327000618	2.04780006409	4.40129995346
AC002310.7	1.22239995003	0.0	1.48319995403	0.0	0.0	1.13769996166	1.40310001373	2.3642001152	0.0	1.68280005455
AC002331.1	1.35070002079	0.0	1.13300001621	0.0	0.0	0.0	0.0	1.30820000172	0.0	2.84050011635
AC002398.11	3.32529997826	2.7321999073	2.56599998474	1.20329999924	0.96439999342	1.15110003948	3.62290000916	2.06999993324	3.12030005455	1.46379995346
AC002398.12	0.0	7.08970022202	0.0	0.0	6.48680019379	4.48059988022	7.14230012894	4.18389987946	0.616299986839	0.0
AC002398.13	2.66470003128	3.28690004349	2.49300003052	1.97759997845	3.07489991188	2.28340005875	4.35629987717	4.5187997818	4.61539983749	2.46230006218
AC002398.9	7.33890008926	7.15290021896	6.90959978104	6.89149999619	7.04290008545	6.72419977188	7.92780017853	7.18989992142	8.28820037842	7.80950021744
